103402,6
103400,12
103403,6
103407,12
103416,24
103418,24
103424,6
103445,6
103449,6
103456,12
103458,6
103459,6
103466,6
103467,12
103470,6
161739,12
161740,12
163182,6
163183,6
163184,6
164325,6
164330,6
164331,6
165718,6
166440,6
166737,6
166929,12
166930,12
166932,12
166935,12
167140,6
167152,6
167153,6
167154,12
167155,6
167405,9
167445,12
167446,12
167900,7.5
167901,7.5
168255,6
168256,12
168730,6
168929,6
168930,6
168933,6
170650,6
170654,6
170665,6
170666,12
170686,6
170689,6
170694,6
170700,12
170706,6
170707,6
170708,6
170783,6
170792,6
170795,12
172241,24
172242,7.5
172243,7.5
172244,7.5
172245,7.5
172258,12
172259,12
172260,6
172262,6
172263,6
173325,12
173607,1.125
173608,1.125
173609,1.125
174194,12
174208,6
174210,6
174256,6
174259,7.5
174260,6
174261,7.5
174273,6
174280,6
174281,6
174282,6
102513,20
167995,12
167996,12
172849,6
263949,6
